37,少年派的奇幻漂流,9.1,1100246人评价,瑰丽壮观、无人能及的冒险之旅。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
38,素媛,9.3,504214人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
39,十二怒汉,9.4,357815人评价,1957年的理想主义。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
40,哈尔的移动城堡,9.1,768827人评价,带着心爱的人在天空飞翔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
41,鬼子来了,9.3,480951人评价,对敌人的仁慈，就是对自己残忍。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
42,天空之城,9.1,655790人评价,对天空的追逐，永不停止。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
43,大话西游之月光宝盒,9.0,950044人评价,旷古烁今。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
44,我不是药神,9.0,1632933人评价,对我们国家而言，这样的电影多一部是一部。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
45,闻香识女人,9.1,664169人评价,史上最美的探戈。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
46,罗马假日,9.0,758067人评价,爱情哪怕只有一天。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
47,天堂电影院,9.2,504363人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg
48,辩护人,9.2,475269人评价,电影的现实意义大过电影本身。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
49,猫鼠游戏,9.0,665056人评价,骗子大师和执著警探的你追我跑故事。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
50,搏击俱乐部,9.0,674219人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
51,大闹天宫,9.4,314552人评价,经典之作，历久弥新。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
52,教父2,9.2,407304人评价,优雅的孤独。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
53,狮子王,9.0,637653人评价,动物版《哈姆雷特》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg
54,指环王2：双塔奇兵,9.1,538538人评价,承前启后的史诗篇章。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
55,死亡诗社,9.1,539530人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
56,钢琴家,9.2,418845人评价,音乐能化解仇恨。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg
57,黑客帝国,9.0,616604人评价,视觉革命。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
58,指环王1：魔戒再现,9.0,604652人评价,传说的开始。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg
59,窃听风暴,9.1,439776人评价,别样人生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
60,饮食男女,9.1,450746人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
61,美丽心灵,9.0,588734人评价,爱是一切逻辑和原由。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
62,让子弹飞,8.8,1255358人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
63,两杆大烟枪,9.1,473532人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
64,绿皮书,8.9,1200975人评价,去除成见，需要勇气。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
65,本杰明·巴顿奇事,8.9,765609人评价,在时间之河里感受溺水之苦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
66,飞越疯人院,9.1,456800人评价,自由万岁。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
67,海蒂和爷爷,9.2,332811人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
68,看不见的客人,8.8,927163人评价,你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
69,西西里的美丽传说,8.9,759043人评价,美丽无罪。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
70,拯救大兵瑞恩,9.0,502152人评价,美利坚精神输出大片No1.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
71,小鞋子,9.2,314050人评价,奔跑的孩子是天使。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
72,穿条纹睡衣的男孩,9.1,391891人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
73,情书,8.9,701677人评价,暗恋的极致。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg
74,音乐之声,9.0,463663人评价,用音乐化解仇恨，让歌声串起美好。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
75,海豚湾,9.3,300045人评价,海豚的微笑，是世界上最高明的伪装。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
76,美国往事,9.2,324731人评价,往事如烟，无处祭奠。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
77,致命魔术,8.9,668915人评价,孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
